league,season,team_x,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Performance_Saves,first_name,second_name,team_y,now_cost,selected_by_percent,total_points,element_type,threat,creativity,influence,team_name,full_name
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",24-243,2001,29,23,2053,22.8,7,4,11,6,1,1,1,0,0.31,0.18,0.48,0.26,0.44,,Bukayo,Saka,1,100,11.4,147,3,804.0,828.9,602.6,Arsenal,Bukayo Saka
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,32-057,1994,6,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Christian,Nørgaard,1,51,0.1,6,3,7.0,0.4,15.8,Arsenal,Christian Nørgaard
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21-313,2004,17,7,769,8.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,Cristhian,Mosquera,1,53,0.2,30,2,16.0,66.6,171.2,Arsenal,Cristhian Mosquera
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,27-112,1999,34,33,2914,32.4,4,5,9,4,0,0,3,0,0.12,0.15,0.28,0.12,0.28,,Declan,Rice,1,72,24.1,179,3,294.0,1021.1,802.6,Arsenal,Declan Rice
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27-311,1998,29,19,1658,18.4,7,2,9,7,0,0,1,0,0.38,0.11,0.49,0.38,0.49,,Eberechi,Eze,1,73,8.9,109,3,408.0,291.1,380.8,Arsenal,Eberechi Eze
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,19-046,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Ethan,Nwaneri,1,50,0.1,8,3,24.0,22.5,8.6,Arsenal,Ethan Nwaneri
ENG-Premier League,2526,Arsenal,Jurriën Timber,NED,DF,24-323,2001,30,28,2454,27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29,,Jurriën,Timber,1,60,15.9,149,2,352.0,402.6,499.0,Arsenal,Jurriën Timber
ENG-Premier League,2526,Arsenal,Kai Havertz,GER,"MF,FW",26-329,1999,9,6,440,4.9,1,2,3,1,0,0,0,0,0.2,0.41,0.61,0.2,0.61,,Kai,Havertz,1,73,0.6,24,4,140.0,62.7,93.6,Arsenal,Kai Havertz
ENG-Premier League,2526,Arsenal,Leandro Trossard,BEL,"FW,MF",31-153,1994,29,19,1821,20.2,5,6,11,5,0,0,1,0,0.25,0.3,0.54,0.25,0.54,,Leandro,Trossard,1,65,0.9,116,3,534.0,531.2,493.2,Arsenal,Leandro Trossard
ENG-Premier League,2526,Arsenal,Martin Ødegaard,NOR,MF,27-140,1998,22,15,1256,14.0,1,5,6,1,0,0,0,0,0.07,0.36,0.43,0.07,0.43,,Martin,Ødegaard,1,78,1.6,71,3,161.0,545.7,305.0,Arsenal,Martin Ødegaard
